file,ref,hyp,cer,time_ms
12345555_101_101_wallpad_1567157460_2025-11-07 17_22_28_속초구 날씨 어때.wav,속초구 날씨 어때,속초구 날씨 어때,0.0,439
12345555_101_101_wallpad_1567177460_2025-11-07 17_22_48_삼백팔십팔번 버스 언제 와.wav,삼백팔십팔번 버스 언제 와,삼백팔십팔번 버스 언제 와,0.0,435
12345555_101_101_wallpad_1567194460_2025-11-07 17_23_06_백사승증권 버스 몇 분후에 와.wav,백사승증권 버스 몇 분후에 와,백사십료권 버스 몇 분후에 와,16.7,436
12345555_101_101_wallpad_1567212460_2025-11-07 17_23_24_육백사십 일 버스 지금 어디야.wav,육백사십 일 버스 지금 어디야,김백사십 빌 버스 지금 어디야,16.7,438
12345555_101_101_wallpad_1567227460_2025-11-07 17_23_38_삼천사백 십이번 버스 도착시간 알려줘.wav,삼천사백 십이번 버스 도착시간 알려줘,삼천사백 십이번 버스 도착시간 알려줘,0.0,430
12345555_101_101_wallpad_1567239460_2025-11-07 17_23_50_유천 구경 번버스 올 때 됐어.wav,유천 구경 번버스 올 때 됐어,유천 구경번버스스 올 때 됐어,9.1,446
12345555_101_101_wallpad_1567261460_2025-11-07 17_24_13_사천 백일번 버스 도착 몇 분 남았어.wav,사천 백일번 버스 도착 몇 분 남았어,사천 백 일번 버스 도착 몇 분 남았어,0.0,434
12345555_101_101_wallpad_1567693460_2025-11-07 17_31_24_안방이 좀 추운데 난방 좀 켜줘.wav,안방이 좀 추운데 난방 좀 켜줘,안방이 좀 추운데 난방 좀 켜줘,0.0,444
12345555_101_101_wallpad_1567704460_2025-11-07 17_31_35_안방에 전방 켜.wav,안방에 전방 켜,안방에 난방 켜,16.7,435
12345555_101_101_wallpad_1567722460_2025-11-07 17_31_54_안방 너무 추워 히터 켜줘.wav,안방 너무 추워 히터 켜줘,안방 너무 추워 히터 켜줘,0.0,437
12345555_101_101_wallpad_1567732460_2025-11-07 17_32_04_안방 온도 좀 올려줘.wav,안방 온도 좀 올려줘,안방 온도 좀 올려줘,0.0,419
12345555_101_101_wallpad_1567760460_2025-11-07 17_32_31_안방 따뜻하게 해줘.wav,안방 따뜻하게 해줘,안방 따뜻하게 해줘,0.0,440
12345555_101_101_wallpad_1567790460_2025-11-07 17_33_02_거실 난방 꺼.wav,거실 난방 꺼,거실 난방 꺼,0.0,438
12345555_101_101_wallpad_1567817460_2025-11-07 17_33_28_거실 안만 켜줘.wav,거실 안만 켜줘,거실 안만 켜줘,0.0,421
12345555_101_101_wallpad_1567833460_2025-11-07 17_33_45_거실 낭만 켜.wav,거실 낭만 켜,거실 불만 켜,20.0,475
12345555_101_101_wallpad_1567850460_2025-11-07 17_34_02_거실 난방 좀 틀어줘.wav,거실 난방 좀 틀어줘,거실 난방 좀 틀어줘,0.0,412
12345555_101_101_wallpad_1567867460_2025-11-07 17_34_19_거실 온도 좀 높여줘.wav,거실 온도 좀 높여줘,거실 온도만 높여줘,12.5,447
12345555_101_101_wallpad_1567894460_2025-11-07 17_34_46_거실 히터 켜.wav,거실 히터 켜,거실 히터 켜,0.0,436
12345555_101_101_wallpad_1567905460_2025-11-07 17_34_56_거실 따뜻하게 해줘.wav,거실 따뜻하게 해줘,거실 따뜻하게 해줘,0.0,436
12345555_101_101_wallpad_1567932460_2025-11-07 17_35_23_거실 온도 내려줘.wav,거실 온도 내려줘,거실 온도 내려줘,0.0,435
12345555_101_101_wallpad_1567955460_2025-11-07 17_35_47_거실 만만 꺼.wav,거실 만만 꺼,거실 만만 꺼,0.0,435
12345555_101_101_wallpad_1567975460_2025-11-07 17_36_07_현재 거실 난방 설정 온도 몇이야.wav,현재 거실 난방 설정 온도 몇이야,현재 거실 난방 설정 온도 몇이야,0.0,438
12345555_101_101_wallpad_1567986460_2025-11-07 17_36_18_지금 거실 온도 몇 도야.wav,지금 거실 온도 몇 도야,지금 거실 온도 몇 도야,0.0,409
12345555_101_101_wallpad_1567997460_2025-11-07 17_36_28_거실 난방 몇 도로 돼 있어.wav,거실 난방 몇 도로 돼 있어,거실 난방 몇 도로 돼 있어,0.0,434
12345555_101_101_wallpad_1568008460_2025-11-07 17_36_40_거실 천정온도 알려줘.wav,거실 천정온도 알려줘,거실 설정 온도 알려줘,11.1,447
12345555_101_101_wallpad_1568019460_2025-11-07 17_36_50_거실이 지금 몇 도야.wav,거실이 지금 몇 도야,거실이 지금 몇 도야,0.0,434
12345555_101_101_wallpad_1568036460_2025-11-07 17_37_07_거실 온도 상태 알려줘.wav,거실 온도 상태 알려줘,거실 온도 상태 알려줘,0.0,432
12345555_101_101_wallpad_1568048460_2025-11-07 17_37_20_난방 온도 낮춰줘.wav,난방 온도 낮춰줘,난방 온도 낮춰줘,0.0,437
12345555_101_101_wallpad_1568075460_2025-11-07 17_37_47_온도 좀 내려줘.wav,온도 좀 내려줘,온도 좀 내려줘,0.0,437
12345555_101_101_wallpad_1568101460_2025-11-07 17_38_13_난방 조금만 낮춰줘.wav,난방 조금만 낮춰줘,난방 조금만 낮춰줘,0.0,434
12345555_101_101_wallpad_1568129460_2025-11-07 17_38_41_너무 더워 난방 좀 줄여줘.wav,너무 더워 난방 좀 줄여줘,너무 더워 난방 좀 줄여줘,0.0,441
12345555_101_101_wallpad_1568153460_2025-11-07 17_39_05_히터 온도 낮춰줘.wav,히터 온도 낮춰줘,히터 온도 낮춰줘,0.0,427
12345555_101_101_wallpad_1568181460_2025-11-07 17_39_32_모든 등방 꺼줘.wav,모든 등방 꺼줘,모든 난방 꺼줘,16.7,425
12345555_101_101_wallpad_1568198460_2025-11-07 17_39_49_전체 난방 꺼.wav,전체 난방 꺼,전체 난방 꺼,0.0,420
12345555_101_101_wallpad_1568222460_2025-11-07 17_40_14_전부 난방 끄기.wav,전부 난방 끄기,전부 난방 끄기,0.0,421
12345555_101_101_wallpad_1568247460_2025-11-07 17_40_38_나방 불 다 꺼줘.wav,나방 불 다 꺼줘,나방불 다 꺼줘,0.0,420
12345555_101_101_wallpad_1568266460_2025-11-07 17_40_58_모든 방 난방 꺼줘.wav,모든 방 난방 꺼줘,모든 방 난방 꺼줘,0.0,420
12345555_101_101_wallpad_1568290460_2025-11-07 17_41_21_난방로 십팔도로 낮틀어줘.wav,난방로 십팔도로 낮틀어줘,난방 십 팔도로 낮춰줘,27.3,423
12345555_101_101_wallpad_1568315460_2025-11-07 17_41_46_난방 스펠도로 맞춰줘.wav,난방 스펠도로 맞춰줘,난방 스팔도로 맞춰줘,11.1,421
12345555_101_101_wallpad_1568329460_2025-11-07 17_42_01_십팔도로 설정해줘.wav,십팔도로 설정해줘,십팔도로 설정해줘,0.0,422
12345555_101_101_wallpad_1568357460_2025-11-07 17_42_29_온도 칠팔떨로 바꿔줘.wav,온도 칠팔떨로 바꿔줘,온도 십팔도로 바꿔줘,22.2,420
12345555_101_101_wallpad_1568386460_2025-11-07 17_42_58_난방 스펠소.wav,난방 스펠소,난방 스펠도로,40.0,421
12345555_101_101_wallpad_1568400460_2025-11-07 17_43_12_난방 십트도로 맞춰줘.wav,난방 십트도로 맞춰줘,난방 십칠도로 맞춰줘,11.1,422
12345555_101_101_wallpad_1568429460_2025-11-07 17_43_41_십오도로 설정해줘.wav,십오도로 설정해줘,십오도로 설정해줘,0.0,421
12345555_101_101_wallpad_1568457460_2025-11-07 17_44_09_온두 이십삼도로 바꿔줘.wav,온두 이십삼도로 바꿔줘,온도 이십삼 도로 바꿔줘,10.0,423
12345555_101_101_wallpad_1568485460_2025-11-07 17_44_37_난방 이십 칠도.wav,난방 이십 칠도,난방 이십 칠도,0.0,420
12345555_101_101_wallpad_1568511460_2025-11-07 17_45_03_너무 어두운데 조명 좀 켜줘.wav,너무 어두운데 조명 좀 켜줘,너무 어두운데 조명 좀 켜줘,0.0,425
12345555_101_101_wallpad_1568527460_2025-11-07 17_45_19_조명 켜.wav,조명 켜,조명 켜,0.0,425
12345555_101_101_wallpad_1568541460_2025-11-07 17_45_33_등 켜줘.wav,등 켜줘,불 켜줘,33.3,420
12345555_101_101_wallpad_1568562460_2025-11-07 17_45_54_방이 부엌 불 좀 켜줘.wav,방이 부엌 불 좀 켜줘,방이 어두워 불 좀 켜줘,37.5,422
12345555_101_101_wallpad_1568579460_2025-11-07 17_46_11_거실 불 켜줘.wav,거실 불 켜줘,거실 불 켜줘,0.0,422
12345555_101_101_wallpad_1568594460_2025-11-07 17_46_26_조명 조 밝게 해줘.wav,조명 조 밝게 해줘,조명 좀 밝게 해줘,14.3,421
12345555_101_101_wallpad_1568628460_2025-11-07 17_46_59_조명 꺼.wav,조명 꺼,조명 꺼,0.0,421
12345555_101_101_wallpad_1568643460_2025-11-07 17_47_14_불 꺼줘.wav,불 꺼줘,불 꺼줘,0.0,421
12345555_101_101_wallpad_1568658460_2025-11-07 17_47_30_조명 밝기 좀 낮춰줘.wav,조명 밝기 좀 낮춰줘,조명 밝기 좀 낮춰줘,0.0,426
12345555_101_101_wallpad_1568677460_2025-11-07 17_47_49_너무 눈부시면 불 좀 꺼줘.wav,너무 눈부시면 불 좀 꺼줘,너무 눈부셔 불 좀 꺼줘,20.0,404
12345555_101_101_wallpad_1568695460_2025-11-07 17_48_07_매일 아침 일곱 시에 모닝콜 해줘.wav,매일 아침 일곱 시에 모닝콜 해줘,매일 아침 일곱 시에 모닝콜해줘,0.0,386
12345555_101_101_wallpad_1568708460_2025-11-07 17_48_19_매일 아침 일곱 시에 깨워줘.wav,매일 아침 일곱 시에 깨워줘,매일 아침 일곱 시에 깨워줘,0.0,400
12345555_101_101_wallpad_1568720460_2025-11-07 17_48_31_여덟시에 알람 설정해줘.wav,여덟시에 알람 설정해줘,여덟시에 알람 설정해줘,0.0,389
12345555_101_101_wallpad_1568732460_2025-11-07 17_48_44_매일 아홉 시에 모닝걸 부탁해.wav,매일 아홉 시에 모닝걸 부탁해,매일 아홉 시에 모닝콜 부탁해,8.3,387
12345555_101_101_wallpad_1568744460_2025-11-07 17_48_56_매일 아침 여섯 시에 깨워줘.wav,매일 아침 여섯 시에 깨워줘,매일 아침 여섯 시에 깨워줘,0.0,388
12345555_101_101_wallpad_1568757460_2025-11-07 17_49_09_내일 아홉시에 모니 보해줘.wav,내일 아홉시에 모니 보해줘,내일 아홉 시에 뭐지 보여줘,27.3,417
12345555_101_101_wallpad_1568772460_2025-11-07 17_49_24_내일 아침 열시에 깨워줘.wav,내일 아침 열시에 깨워줘,내일 아침 열시에 깨워줘,0.0,412
12345555_101_101_wallpad_1568784460_2025-11-07 17_49_35_내일 열람시 알람 설정해줘.wav,내일 열람시 알람 설정해줘,내일 열람시 알람 설정해줘,0.0,419
12345555_101_101_wallpad_1568796460_2025-11-07 17_49_48_내일 열두시에 불러줘.wav,내일 열두시에 불러줘,내일 열두시에 불러줘,0.0,425
12345555_101_101_wallpad_1568808460_2025-11-07 17_50_00_내일 다섯 시에 모닝크로 맞춰줘.wav,내일 다섯 시에 모닝크로 맞춰줘,내일 다섯 시에 모닝터 맞춰줘,15.4,420
12345555_101_101_wallpad_1568822460_2025-11-07 17_50_13_오늘 날씨 알려줘.wav,오늘 날씨 알려줘,오늘 날씨 알려줘,0.0,420
12345555_101_101_wallpad_1568835460_2025-11-07 17_50_27_오늘 날씨 어때.wav,오늘 날씨 어때,오늘 날씨 어때,0.0,419
12345555_101_101_wallpad_1568848460_2025-11-07 17_50_40_오늘 비와.wav,오늘 비와,오늘 비 와,0.0,420
12345555_101_101_wallpad_1568861460_2025-11-07 17_50_53_오늘 기온 알려줘.wav,오늘 기온 알려줘,오늘 기온 알려줘,0.0,421
12345555_101_101_wallpad_1568874460_2025-11-07 17_51_06_오늘 추워.wav,오늘 추워,오늘 추워,0.0,423
12345555_101_101_wallpad_1568899460_2025-11-07 17_51_30_오늘 옷 따뜻하게 입어야 돼.wav,오늘 옷 따뜻하게 입어야 돼,오늘 옷따뜻하게 입어야 돼,0.0,421
12345555_101_101_wallpad_1568911460_2025-11-07 17_51_43_오늘 더워.wav,오늘 더워,오늘 더워,0.0,426
12345555_101_101_wallpad_1568925460_2025-11-07 17_51_56_오늘 눈 와.wav,오늘 눈 와,오늘 눈와,0.0,422
12345555_101_101_wallpad_1568938460_2025-11-07 17_52_10_오늘 우산 필요해.wav,오늘 우산 필요해,오늘 우산 필요해,0.0,421
12345555_101_101_wallpad_1568952460_2025-11-07 17_52_24_현재 날씨 알려줘.wav,현재 날씨 알려줘,현재 날씨 알려줘,0.0,422
12345555_101_101_wallpad_1568966460_2025-11-07 17_52_37_지금 날씨 어때.wav,지금 날씨 어때,지금 날씨 어때,0.0,421
12345555_101_101_wallpad_1568979460_2025-11-07 17_52_51_바깥 날씨 어때.wav,바깥 날씨 어때,바깥 날씨 어때,0.0,423
12345555_101_101_wallpad_1568993460_2025-11-07 17_53_04_현재 기온 알려줘.wav,현재 기온 알려줘,현재 기온 알려줘,0.0,423
12345555_101_101_wallpad_1569007460_2025-11-07 17_53_18_실시간 날씨 알려줘.wav,실시간 날씨 알려줘,실시간 날씨 알려줘,0.0,416
12345555_101_101_wallpad_1569021460_2025-11-07 17_53_33_현재 강일 날씨 알려줘.wav,현재 강일 날씨 알려줘,현재 강릉 날씨 알려줘,11.1,416
12345555_101_101_wallpad_1569038460_2025-11-07 17_53_49_강남 지금 날씨 어때.wav,강남 지금 날씨 어때,강남 지금 날씨 어때,0.0,403
12345555_101_101_wallpad_1569050460_2025-11-07 17_54_02_부산 비와.wav,부산 비와,부산 비와,0.0,401
12345555_101_101_wallpad_1569064460_2025-11-07 17_54_15_대전온도 알려줘.wav,대전온도 알려줘,재전목도 알려줘,28.6,416
12345555_101_101_wallpad_1569078460_2025-11-07 17_54_30_강원도 기온 몇 도야.wav,강원도 기온 몇 도야,강원도 기온 몇 도야,0.0,407
12345555_101_101_wallpad_1569092460_2025-11-07 17_54_44_춘천 기온 몇 도야.wav,춘천 기온 몇 도야,춘천 기온 몇 도야,0.0,425
12345555_101_101_wallpad_1569106460_2025-11-07 17_54_57_추주 날씨 어때.wav,추주 날씨 어때,추워주 날씨 어때,16.7,438
12345555_101_101_wallpad_1569120460_2025-11-07 17_55_12_서초구다 날씨 어때.wav,서초구다 날씨 어때,서초구 날씨 어때,12.5,396
12345555_101_101_wallpad_1569134460_2025-11-07 17_55_25_삼백번 버스 언제 와.wav,삼백번 버스 언제 와,삼백번 버스 언제 와,0.0,433
12345555_101_101_wallpad_1569145460_2025-11-07 17_55_37_백사진 인번 버스 몇 번 후에 와.wav,백사진 인번 버스 몇 번 후에 와,백 사진 있번 버스 몇 번후에 와,8.3,449
12345555_101_101_wallpad_1569165460_2025-11-07 17_55_56_육살역버스 지금 어디야.wav,육살역버스 지금 어디야,육삼용버스 지금 어디야,20.0,436
12345555_101_101_wallpad_1569185460_2025-11-07 17_56_17_삼사일인번 버스 도착시간 알려줘.wav,삼사일인번 버스 도착시간 알려줘,삼사일이번 버스 도착시간 알려줘,7.1,452
12345555_101_101_wallpad_1569204460_2025-11-07 17_56_36_육촌 구립 번버스 언제 됐어.wav,육촌 구립 번버스 언제 됐어,육촌 구립번 버스 결제 어,18.2,421
12345555_101_101_wallpad_1569227460_2025-11-07 17_56_59_엠사 공일번 버스 도착 몇 분 남았어.wav,엠사 공일번 버스 도착 몇 분 남았어,엔 사일 공일번버스 도착 몇 분 남았어,14.3,458
12345555_101_101_wallpad_1569525460_2025-11-07 18_01_57_침내 안방 난방 켜줘.wav,침내 안방 난방 켜줘,실내 안방 난방 켜줘,12.5,437
12345555_101_101_wallpad_1569537460_2025-11-07 18_02_09_안방이 좀 추는데 난방 좀 켜줘.wav,안방이 좀 추는데 난방 좀 켜줘,안방이 도 추운데 난방 좀 켜줘,16.7,438
12345555_101_101_wallpad_1569546460_2025-11-07 18_02_18_안방에 난방 켜.wav,안방에 난방 켜,안방에 난방 켜,0.0,435
12345555_101_101_wallpad_1569556460_2025-11-07 18_02_28_안방 너무 추워 히터 켜줘.wav,안방 너무 추워 히터 켜줘,안방 너무 추워 히터 켜줘,0.0,435
12345555_101_101_wallpad_1569565460_2025-11-07 18_02_36_안방 온도 좀 올려줘.wav,안방 온도 좀 올려줘,안방 온도 좀 올려줘,0.0,444
12345555_101_101_wallpad_1569592460_2025-11-07 18_03_04_바방 따뜻하게 해줘.wav,바방 따뜻하게 해줘,안방 따뜻하게 해줘,12.5,433
12345555_101_101_wallpad_1569619460_2025-11-07 18_03_31_거실 난방 꺼줘.wav,거실 난방 꺼줘,거실 난방 꺼줘,0.0,440
12345555_101_101_wallpad_1569644460_2025-11-07 18_03_55_거실 난방 켜줘.wav,거실 난방 켜줘,거실 난방 켜줘,0.0,442
12345555_101_101_wallpad_1569656460_2025-11-07 18_04_07_거실 난방 켜.wav,거실 난방 켜,거실 난방 켜,0.0,435
12345555_101_101_wallpad_1569664460_2025-11-07 18_04_16_거실 난방송 틀어줘.wav,거실 난방송 틀어줘,거실 난방좀 틀어줘,12.5,416
12345555_101_101_wallpad_1569674460_2025-11-07 18_04_26_거실 온도 좀 높여줘.wav,거실 온도 좀 높여줘,거실 온도 좀 높여줘,0.0,420
12345555_101_101_wallpad_1569701460_2025-11-07 18_04_53_거실이 터 켜.wav,거실이 터 켜,거실 터 켜,20.0,419
12345555_101_101_wallpad_1569718460_2025-11-07 18_05_10_거실 따뜻하게 해줘.wav,거실 따뜻하게 해줘,거실 따뜻하게 해줘,0.0,426
12345555_101_101_wallpad_1569746460_2025-11-07 18_05_37_거실 온도 내려줘.wav,거실 온도 내려줘,거실 온도 내려줘,0.0,421
12345555_101_101_wallpad_1569771460_2025-11-07 18_06_03_거실 난방로 꺼.wav,거실 난방로 꺼,거실 난방 꺼,16.7,421
12345555_101_101_wallpad_1569798460_2025-11-07 18_06_29_현재 거실 난방 설정 온도 몇이야.wav,현재 거실 난방 설정 온도 몇이야,현재 거실 난방 설정 온도 몇이야,0.0,421
12345555_101_101_wallpad_1569809460_2025-11-07 18_06_40_지금 거실 온도 몇 도야.wav,지금 거실 온도 몇 도야,지금 거실 온도 몇 도야,0.0,421
12345555_101_101_wallpad_1569819460_2025-11-07 18_06_51_거실 난방 몇 도로 돼 있어.wav,거실 난방 몇 도로 돼 있어,거실 난방 몇 도로 돼 있어,0.0,421
12345555_101_101_wallpad_1569832460_2025-11-07 18_07_04_거실 설정도 알려줘.wav,거실 설정도 알려줘,거실 설정 온도 알려줘,12.5,422
12345555_101_101_wallpad_1569849460_2025-11-07 18_07_21_거실이 지금 몇 도야.wav,거실이 지금 몇 도야,거실에 지금 몇 도야,12.5,421
12345555_101_101_wallpad_1569879460_2025-11-07 18_07_51_거실 온도 상태 알려줘.wav,거실 온도 상태 알려줘,거실 온도 상태 알려줘,0.0,423
12345555_101_101_wallpad_1569893460_2025-11-07 18_08_04_난방불도 낮춰줘.wav,난방불도 낮춰줘,난방 온도 낮춰줘,14.3,420
12345555_101_101_wallpad_1569917460_2025-11-07 18_08_28_온도 좀 내려줘.wav,온도 좀 내려줘,온도 좀 내려줘,0.0,420
12345555_101_101_wallpad_1569943460_2025-11-07 18_08_55_난방 조금만 낮춰줘.wav,난방 조금만 낮춰줘,난방 조금만 낮춰줘,0.0,421
12345555_101_101_wallpad_1569971460_2025-11-07 18_09_23_너무 더워 난나고 좀 줄여줘.wav,너무 더워 난나고 좀 줄여줘,너무 더워 난방고 좀 줄여줘,9.1,423
12345555_101_101_wallpad_1569998460_2025-11-07 18_09_50_히터 온도 맞춰줘.wav,히터 온도 맞춰줘,히터 온도 맞춰줘,0.0,419
12345555_101_101_wallpad_1570010460_2025-11-07 18_10_01_오늘 난방 꺼줘.wav,오늘 난방 꺼줘,모든 난방 꺼줘,33.3,419
12345555_101_101_wallpad_1570033460_2025-11-07 18_10_25_전체 난방 꺼.wav,전체 난방 꺼,전체 난방 꺼,0.0,418
12345555_101_101_wallpad_1570055460_2025-11-07 18_10_47_전부 난방로 끌게.wav,전부 난방로 끌게,전부 난방로 끌게,0.0,421
12345555_101_101_wallpad_1570077460_2025-11-07 18_11_09_난방 다 꺼줘.wav,난방 다 꺼줘,난방 다 꺼줘,0.0,422
12345555_101_101_wallpad_1570100460_2025-11-07 18_11_32_모든 방 난방 꺼줘.wav,모든 방 난방 꺼줘,모든 방 난방 꺼줘,0.0,421
12345555_101_101_wallpad_1570123460_2025-11-07 18_11_54_난방 스펠드로 낮춰줘.wav,난방 스펠드로 낮춰줘,난방 스팔도로 낮춰줘,22.2,423
12345555_101_101_wallpad_1570147460_2025-11-07 18_12_19_난방 십팔도로 맞춰줘.wav,난방 십팔도로 맞춰줘,난방 십팔도로 맞춰줘,0.0,420
12345555_101_101_wallpad_1570172460_2025-11-07 18_12_44_수평도로 설정해줘.wav,수평도로 설정해줘,스평도로 설정해줘,12.5,421
12345555_101_101_wallpad_1570189460_2025-11-07 18_13_01_온도 스펠터로 바꿔줘.wav,온도 스펠터로 바꿔줘,온도 십팔도로 바꿔줘,33.3,422
12345555_101_101_wallpad_1570209460_2025-11-07 18_13_21_난방 십팔도.wav,난방 십팔도,난방 십팔도,0.0,421
12345555_101_101_wallpad_1570233460_2025-11-07 18_13_45_난방 스 칠프로 맞춰줘.wav,난방 스 칠프로 맞춰줘,난방 십칠도로 맞춰줘,22.2,423
12345555_101_101_wallpad_1570261460_2025-11-07 18_14_12_십오도로 설정해줘.wav,십오도로 설정해줘,십 오도로 설정해줘,0.0,420
12345555_101_101_wallpad_1570289460_2025-11-07 18_14_40_온도 이십삼도로 바꿔줘.wav,온도 이십삼도로 바꿔줘,온도 이십삼도로 바꿔줘,0.0,421
12345555_101_101_wallpad_1570316460_2025-11-07 18_15_08_난방이십틀소.wav,난방이십틀소,난방 이십칠도,33.3,420
12345555_101_101_wallpad_1570328460_2025-11-07 18_15_20_너무 어두운데 조명 좀 켜줘.wav,너무 어두운데 조명 좀 켜줘,너무 어두운데 조명 좀 켜줘,0.0,420
12345555_101_101_wallpad_1570344460_2025-11-07 18_15_35_조명 켜.wav,조명 켜,조명 켜,0.0,420
12345555_101_101_wallpad_1570358460_2025-11-07 18_15_50_불 켜줘.wav,불 켜줘,불 켜줘,0.0,421
12345555_101_101_wallpad_1570376460_2025-11-07 18_16_08_방이 어두워 불 좀 켜줘.wav,방이 어두워 불 좀 켜줘,방이 어두워 불 좀 켜줘,0.0,420
12345555_101_101_wallpad_1570393460_2025-11-07 18_16_24_거실 불 켜줘.wav,거실 불 켜줘,거실 불 켜줘,0.0,420
12345555_101_101_wallpad_1570409460_2025-11-07 18_16_40_조명 더 밝게 해줘.wav,조명 더 밝게 해줘,조명 더 밝게 해줘,0.0,420
12345555_101_101_wallpad_1570427460_2025-11-07 18_16_58_너무 밝은데 조명 좀 꺼줘.wav,너무 밝은데 조명 좀 꺼줘,너무 밝은데 조명 좀 꺼줘,0.0,421
12345555_101_101_wallpad_1570442460_2025-11-07 18_17_14_조명 꺼.wav,조명 꺼,조명 꺼,0.0,421
12345555_101_101_wallpad_1570456460_2025-11-07 18_17_28_불 꺼줘.wav,불 꺼줘,불 꺼줘,0.0,416
12345555_101_101_wallpad_1570473460_2025-11-07 18_17_45_조명 밝기도 낮춰줘.wav,조명 밝기도 낮춰줘,조명 밝기도 낮춰줘,0.0,419
12345555_101_101_wallpad_1570490460_2025-11-07 18_18_02_너무 눈부셔 불 좀 꺼줘.wav,너무 눈부셔 불 좀 꺼줘,너무 눈부셔 불 좀 꺼줘,0.0,419
12345555_101_101_wallpad_1570507460_2025-11-07 18_18_19_매일 아침에 혹시 모니콜해줘.wav,매일 아침에 혹시 모니콜해줘,매일 아침에 곱시에 모닝콜 해줘,25.0,420
12345555_101_101_wallpad_1570525460_2025-11-07 18_18_36_매일 아침 일곱 시에 깨워줘.wav,매일 아침 일곱 시에 깨워줘,매일 아침 일곱 시에 깨워줘,0.0,420
12345555_101_101_wallpad_1570536460_2025-11-07 18_18_47_여덟시에 알람 설정해줘.wav,여덟시에 알람 설정해줘,여덟시에 알람 설정해줘,0.0,420
12345555_101_101_wallpad_1570548460_2025-11-07 18_19_00_매일 아홉 시에 모든 걸 부탁해.wav,매일 아홉 시에 모든 걸 부탁해,매일 아홉 시에 모닝콜 부탁해,16.7,419
12345555_101_101_wallpad_1570559460_2025-11-07 18_19_11_매일 아침 여섯 시에 깨워줘..wav,매일 아침 여섯 시에 깨워줘.,매일 아침 여섯 시에 깨워줘,8.3,421
12345555_101_101_wallpad_1570573460_2025-11-07 18_19_25_내일 아홉시에 모습보내줘.wav,내일 아홉시에 모습보내줘,내일 아홉 시에 모닝 콜해줘,27.3,420
12345555_101_101_wallpad_1570586460_2025-11-07 18_19_38_내일 아침 열시에 깨워줘.wav,내일 아침 열시에 깨워줘,내일 아침 열시에 깨워줘,0.0,420
12345555_101_101_wallpad_1570598460_2025-11-07 18_19_50_내일 열한시 안람 설정해줘.wav,내일 열한시 안람 설정해줘,내일 열한시 알람 설정해줘,9.1,421
12345555_101_101_wallpad_1570609460_2025-11-07 18_20_01_내일 열두 시간 불러줘.wav,내일 열두 시간 불러줘,내일 열두시에 불러줘,11.1,424
12345555_101_101_wallpad_1570621460_2025-11-07 18_20_13_내일 다섯 시에 모든불 맞춰줘.wav,내일 다섯 시에 모든불 맞춰줘,내일 다섯 시에 모습을 맞춰줘,16.7,415
12345555_101_101_wallpad_1570639460_2025-11-07 18_20_31_오늘 날씨 알려려줘.wav,오늘 날씨 알려려줘,오늘 날씨 알려줘,12.5,417
12345555_101_101_wallpad_1570653460_2025-11-07 18_20_45_오늘 날씨 어때.wav,오늘 날씨 어때,오늘 날씨 어때,0.0,391
12345555_101_101_wallpad_1570665460_2025-11-07 18_20_57_오늘 비와.wav,오늘 비와,오늘 비와,0.0,386
12345555_101_101_wallpad_1570678460_2025-11-07 18_21_09_오늘 기온 알려줘.wav,오늘 기온 알려줘,오늘 기온 알려줘,0.0,403
12345555_101_101_wallpad_1570691460_2025-11-07 18_21_22_오늘 추워_.wav,오늘 추워_,오늘 추워,20.0,395
12345555_101_101_wallpad_1570704460_2025-11-07 18_21_35_오늘옷 따뜻하게 입어야 돼.wav,오늘옷 따뜻하게 입어야 돼,오늘은 따뜻하게 입어야 돼,9.1,407
12345555_101_101_wallpad_1570717460_2025-11-07 18_21_48_오늘 더워.wav,오늘 더워,오늘 더워,0.0,429
12345555_101_101_wallpad_1570732460_2025-11-07 18_22_03_오늘 좋나.wav,오늘 좋나,오늘 좋나,0.0,387
12345555_101_101_wallpad_1570744460_2025-11-07 18_22_16_오늘 우산 필요해.wav,오늘 우산 필요해,오늘 우산 필요해,0.0,408
12345555_101_101_wallpad_1570757460_2025-11-07 18_22_29_현재 날씨 알려줘.wav,현재 날씨 알려줘,현재 날씨 알려줘,0.0,439
12345555_101_101_wallpad_1570771460_2025-11-07 18_22_42_지금 날씨 어때.wav,지금 날씨 어때,지금 날씨 어때,0.0,427
12345555_101_101_wallpad_1570784460_2025-11-07 18_22_56_바깥 날씨 어때.wav,바깥 날씨 어때,바깥 날씨 어때,0.0,431
12345555_101_101_wallpad_1570797460_2025-11-07 18_23_09_평재 기온 알려줘.wav,평재 기온 알려줘,현재 기온 알려줘,14.3,441
12345555_101_101_wallpad_1570810460_2025-11-07 18_23_22_실시간 날씨 알려줘.wav,실시간 날씨 알려줘,실시간 날씨 알려줘,0.0,417
12345555_101_101_wallpad_1570823460_2025-11-07 18_23_35_현재 강릉날씨 알려줘.wav,현재 강릉날씨 알려줘,현재 강릉날씨 알려줘,0.0,418
12345555_101_101_wallpad_1570837460_2025-11-07 18_23_48_강남 지금 날씨 어때.wav,강남 지금 날씨 어때,강남 지금 날씨 어때,0.0,417
12345555_101_101_wallpad_1570849460_2025-11-07 18_24_00_부산을 비와.wav,부산을 비와,부산을 미화,40.0,417
